REF_DATE,GEO,DGUID,Estimates,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
1946-04,Saskatchewan,2016A000247,Deaths,Number,223,units,0,v90,9.2,1627,,,,0
1946-04,Saskatchewan,2016A000247,Marriages,Number,223,units,0,v105,9.3,2114,,,t,0
1946-04,Alberta,2016A000248,Births,Number,223,units,0,v76,10.1,5752,,,,0
1946-04,Alberta,2016A000248,Deaths,Number,223,units,0,v91,10.2,1619,,,,0
1946-04,Alberta,2016A000248,Marriages,Number,223,units,0,v106,10.3,2572,,,t,0
1946-04,British Columbia,2016A000259,Births,Number,223,units,0,v64,11.1,5659,,,,0
1946-04,British Columbia,2016A000259,Deaths,Number,223,units,0,v79,11.2,2503,,,,0
1946-04,British Columbia,2016A000259,Marriages,Number,223,units,0,v94,11.3,3230,,,t,0
1946-04,Yukon,2016A000260,Births,Number,223,units,0,v65,12.1,26,,,,0
1946-04,Yukon,2016A000260,Deaths,Number,223,units,0,v80,12.2,22,,,,0
1946-04,Yukon,2016A000260,Marriages,Number,223,units,0,v95,12.3,15,,,t,0
1946-04,Northwest Territories including Nunavut,,Births,Number,223,units,0,v66,13.1,150,,,t,0
1946-04,Northwest Territories including Nunavut,,Deaths,Number,223,units,0,v81,13.2,81,,,t,0
1946-04,Northwest Territories including Nunavut,,Marriages,Number,223,units,0,v96,13.3,48,,,t,0
1946-07,Canada,2016A000011124,Births,Number,223,units,0,v62,1.1,88465,,,,0
1946-07,Canada,2016A000011124,Deaths,Number,223,units,0,v77,1.2,26021,,,,0
1946-07,Canada,2016A000011124,Marriages,Number,223,units,0,v92,1.3,42674,,,t,0
1946-07,Prince Edward Island,2016A000211,Births,Number,223,units,0,v69,3.1,747,,,,0
1946-07,Prince Edward Island,2016A000211,Deaths,Number,223,units,0,v84,3.2,218,,,,0
1946-07,Prince Edward Island,2016A000211,Marriages,Number,223,units,0,v99,3.3,260,,,t,0
1946-07,Nova Scotia,2016A000212,Births,Number,223,units,0,v70,4.1,4929,,,,0
1946-07,Nova Scotia,2016A000212,Deaths,Number,223,units,0,v85,4.2,1337,,,,0
1946-07,Nova Scotia,2016A000212,Marriages,Number,223,units,0,v100,4.3,2080,,,t,0
1946-07,New Brunswick,2016A000213,Births,Number,223,units,0,v71,5.1,4366,,,,0
1946-07,New Brunswick,2016A000213,Deaths,Number,223,units,0,v86,5.2,1076,,,,0
1946-07,New Brunswick,2016A000213,Marriages,Number,223,units,0,v101,5.3,1956,,,t,0
1946-07,Quebec,2016A000224,Births,Number,223,units,0,v72,6.1,28920,,,,0
1946-07,Quebec,2016A000224,Deaths,Number,223,units,0,v87,6.2,7529,,,,0
1946-07,Quebec,2016A000224,Marriages,Number,223,units,0,v102,6.3,14021,,,t,0
1946-07,Ontario,2016A000235,Births,Number,223,units,0,v73,7.1,26280,,,,0
1946-07,Ontario,2016A000235,Deaths,Number,223,units,0,v88,7.2,8872,,,,0
1946-07,Ontario,2016A000235,Marriages,Number,223,units,0,v103,7.3,13603,,,t,0
1946-07,Manitoba,2016A000246,Births,Number,223,units,0,v74,8.1,5089,,,,0
1946-07,Manitoba,2016A000246,Deaths,Number,223,units,0,v89,8.2,1517,,,,0
1946-07,Manitoba,2016A000246,Marriages,Number,223,units,0,v104,8.3,2686,,,t,0
1946-07,Saskatchewan,2016A000247,Births,Number,223,units,0,v75,9.1,5916,,,,0
1946-07,Saskatchewan,2016A000247,Deaths,Number,223,units,0,v90,9.2,1577,,,,0
1946-07,Saskatchewan,2016A000247,Marriages,Number,223,units,0,v105,9.3,2096,,,t,0
1946-07,Alberta,2016A000248,Births,Number,223,units,0,v76,10.1,6012,,,,0
