region,country_of_origin,total_num,num_men,num_women,total_percent,percent_men,percent_women
Canada,"    China",118035,50365,67665,8.9,7.8,9.9
Canada,"    Hong Kong",6495,2880,3620,0.5,0.4,0.5
Canada,"    India",246995,128205,118790,18.6,19.9,17.4
Canada,"    Iran",25650,12310,13340,1.9,1.9,2
Canada,"    Iraq",17715,8835,8875,1.3,1.4,1.3
Canada,"    Israel",4850,2565,2290,0.4,0.4,0.3
Canada,"    Japan",4445,1035,3410,0.3,0.2,0.5
Canada,"    Jordan",4635,2375,2260,0.3,0.4,0.3
Canada,"    Korea, South",20985,8790,12200,1.6,1.4,1.8
Canada,"    Lebanon",9980,5120,4860,0.8,0.8,0.7
Canada,"    Nepal",4890,2475,2415,0.4,0.4,0.4
Canada,"    Pakistan",36255,18070,18190,2.7,2.8,2.7
Canada,"    Philippines",151490,66720,84765,11.4,10.3,12.4
Canada,"    Saudi Arabia",9560,5195,4365,0.7,0.8,0.6
Canada,"    Sri Lanka",8480,4010,4465,0.6,0.6,0.7
Canada,"    Syria",63130,32725,30410,4.8,5.1,4.5
Canada,"    Turkey",10150,5520,4635,0.8,0.9,0.7
Canada,"    United Arab Emirates",8405,4325,4085,0.6,0.7,0.6
Canada,"    Viet Nam",14725,5605,9125,1.1,0.9,1.3
Canada,"    Other places of birth in Asia",30410,13035,17375,2.3,2,2.5
Canada,"  Oceania and other",9160,5335,3825,0.7,0.8,0.6
Canada,"    Australia",6535,3845,2685,0.5,0.6,0.4
Canada,"    Other places of birth",2625,1490,1135,0.2,0.2,0.2
"Newfoundland and Labrador","  Americas",2345,1110,1235,16.5,15.3,17.6
"Newfoundland and Labrador","    Brazil",90,40,50,0.6,0.6,0.7
"Newfoundland and Labrador","    Colombia",145,70,75,1,1,1.1
"Newfoundland and Labrador","    El Salvador",30,15,20,0.2,0.2,0.3
"Newfoundland and Labrador","    Guyana",20,10,10,0.1,0.1,0.1
"Newfoundland and Labrador","    Haiti",10,10,0,0.1,0.1,0
"Newfoundland and Labrador","    Jamaica",220,100,125,1.5,1.4,1.8
"Newfoundland and Labrador","    Mexico",25,15,15,0.2,0.2,0.2
"Newfoundland and Labrador","    Peru",20,10,15,0.1,0.1,0.2
"Newfoundland and Labrador","    Trinidad and Tobago",65,25,35,0.5,0.3,0.5
"Newfoundland and Labrador","    United States of America",1390,695,690,9.8,9.6,9.8
"Newfoundland and Labrador","    Other places of birth in Americas",325,130,200,2.3,1.8,2.9
"Newfoundland and Labrador","  Europe",4290,2340,1945,30.1,32.3,27.7
"Newfoundland and Labrador","    Bosnia and Herzegovina",40,25,10,0.3,0.3,0.1
"Newfoundland and Labrador","    Croatia",45,25,20,0.3,0.3,0.3
"Newfoundland and Labrador","    France",190,85,105,1.3,1.2,1.5
"Newfoundland and Labrador","    Germany",245,150,95,1.7,2.1,1.4
"Newfoundland and Labrador","    Greece",25,15,0,0.2,0.2,0
"Newfoundland and Labrador","    Hungary",15,0,15,0.1,0,0.2
"Newfoundland and Labrador","    Italy",95,55,40,0.7,0.8,0.6
"Newfoundland and Labrador","    Netherlands",100,60,40,0.7,0.8,0.6
"Newfoundland and Labrador","    Poland",60,40,25,0.4,0.6,0.4
"Newfoundland and Labrador","    Portugal",80,35,45,0.6,0.5,0.6
"Newfoundland and Labrador","    Romania",100,45,55,0.7,0.6,0.8
"Newfoundland and Labrador","    Russian Federation",125,60,70,0.9,0.8,1
"Newfoundland and Labrador","    Serbia",10,0,10,0.1,0,0.1
"Newfoundland and Labrador","    Ukraine",75,25,50,0.5,0.3,0.7
"Newfoundland and Labrador","    United Kingdom",2300,1235,1070,16.1,17.1,15.3
"Newfoundland and Labrador","    Other places of birth in Europe",780,475,305,5.5,6.6,4.4
"Newfoundland and Labrador","  Africa",1895,1065,835,13.3,14.7,11.9
"Newfoundland and Labrador","    Algeria",30,15,15,0.2,0.2,0.2
"Newfoundland and Labrador","    Congo, Democratic Republic of the",80,40,40,0.6,0.6,0.6
"Newfoundland and Labrador","    Egypt",205,145,60,1.4,2,0.9
"Newfoundland and Labrador","    Eritrea",155,95,60,1.1,1.3,0.9
"Newfoundland and Labrador","    Ethiopia",75,40,35,0.5,0.6,0.5
"Newfoundland and Labrador","    Morocco",20,15,10,0.1,0.2,0.1
"Newfoundland and Labrador","    Nigeria",455,260,200,3.2,3.6,2.9
"Newfoundland and Labrador","    Somalia",15,15,0,0.1,0.2,0
"Newfoundland and Labrador","    South Africa, Republic of",185,95,85,1.3,1.3,1.2
"Newfoundland and Labrador","    Other places of birth in Africa",675,345,325,4.7,4.8,4.6
"Newfoundland and Labrador","  Asia",5590,2680,2910,39.2,37,41.5
"Newfoundland and Labrador","    Afghanistan",0,0,0,0,0,0
"Newfoundland and Labrador","    Iran",140,70,70,1,1,1
"Newfoundland and Labrador","    Iraq",190,95,90,1.3,1.3,1.3
"Newfoundland and Labrador","    Lebanon",80,45,30,0.6,0.6,0.4
"Newfoundland and Labrador","    Syria",485,245,240,3.4,3.4,3.4
"Newfoundland and Labrador","    Turkey",55,40,15,0.4,0.6,0.2
"Newfoundland and Labrador","    China",630,280,350,4.4,3.9,5
"Newfoundland and Labrador","    Hong Kong",85,45,45,0.6,0.6,0.6
"Newfoundland and Labrador","    Korea, South",105,25,75,0.7,0.3,1.1
"Newfoundland and Labrador","    Taiwan",50,20,35,0.4,0.3,0.5
"Newfoundland and Labrador","    Philippines",1655,685,965,11.6,9.5,13.8
"Newfoundland and Labrador","    Viet Nam",90,45,45,0.6,0.6,0.6
"Newfoundland and Labrador","    Bangladesh",230,130,105,1.6,1.8,1.5
"Newfoundland and Labrador","    India",830,480,355,5.8,6.6,5.1
"Newfoundland and Labrador","    Pakistan",220,90,130,1.5,1.2,1.9
"Newfoundland and Labrador","    Sri Lanka",100,50,50,0.7,0.7,0.7
"Newfoundland and Labrador","    Other places of birth in Asia",635,340,300,4.5,4.7,4.3
"Newfoundland and Labrador","  Oceania and other places of birth",130,40,90,0.9,0.6,1.3
"Newfoundland and Labrador","Total - Place of birth for the recent immigrant population in private households - 25% sample data",4270,2100,2170,100,100,100
"Newfoundland and Labrador","  Americas",430,200,225,10.1,9.5,10.4
"Newfoundland and Labrador","    Brazil",25,10,20,0.6,0.5,0.9
"Newfoundland and Labrador","    Colombia",20,15,0,0.5,0.7,0
"Newfoundland and Labrador","    Haiti",0,0,0,0,0,0
"Newfoundland and Labrador","    Jamaica",145,60,80,3.4,2.9,3.7
"Newfoundland and Labrador","    Mexico",20,15,10,0.5,0.7,0.5
"Newfoundland and Labrador","    United States of America",145,70,70,3.4,3.3,3.2
"Newfoundland and Labrador","    Venezuela",0,0,0,0,0,0
"Newfoundland and Labrador","    Other places of birth in Americas",70,25,45,1.6,1.2,2.1
"Newfoundland and Labrador","  Europe",395,235,165,9.3,11.2,7.6
"Newfoundland and Labrador","    France",30,15,20,0.7,0.7,0.9
"Newfoundland and Labrador","    Germany",30,20,10,0.7,1,0.5
"Newfoundland and Labrador","    Ireland",55,30,25,1.3,1.4,1.2
"Newfoundland and Labrador","    Italy",10,10,0,0.2,0.5,0
"Newfoundland and Labrador","    Russian Federation",25,15,15,0.6,0.7,0.7
"Newfoundland and Labrador","    Ukraine",0,0,0,0,0,0
"Newfoundland and Labrador","    United Kingdom",125,90,35,2.9,4.3,1.6
"Newfoundland and Labrador","    Other places of birth in Europe",105,60,45,2.5,2.9,2.1
"Newfoundland and Labrador","  Africa",910,490,425,21.3,23.3,19.6
"Newfoundland and Labrador","    Algeria",0,0,0,0,0,0
"Newfoundland and Labrador","    Burundi",0,0,0,0,0,0
"Newfoundland and Labrador","    Cameroon",10,0,10,0.2,0,0.5
"Newfoundland and Labrador","    Congo, Democratic Republic of the",55,25,25,1.3,1.2,1.2
"Newfoundland and Labrador","    Cote d'Ivoire",0,0,0,0,0,0
"Newfoundland and Labrador","    Egypt",40,25,10,0.9,1.2,0.5
"Newfoundland and Labrador","    Eritrea",100,60,45,2.3,2.9,2.1
"Newfoundland and Labrador","    Ethiopia",20,0,15,0.5,0,0.7
"Newfoundland and Labrador","    Morocco",10,0,0,0.2,0,0
"Newfoundland and Labrador","    Nigeria",300,175,120,7,8.3,5.5
"Newfoundland and Labrador","    Somalia",0,0,0,0,0,0
"Newfoundland and Labrador","    South Africa, Republic of",65,35,25,1.5,1.7,1.2
"Newfoundland and Labrador","    Sudan",65,35,30,1.5,1.7,1.4
"Newfoundland and Labrador","    Tunisia",35,15,25,0.8,0.7,1.2
"Newfoundland and Labrador","    Other places of birth in Africa",210,100,115,4.9,4.8,5.3
"Newfoundland and Labrador","  Asia",2520,1170,1345,59,55.7,62
"Newfoundland and Labrador","    Afghanistan",0,0,0,0,0,0
"Newfoundland and Labrador","    Bangladesh",80,45,35,1.9,2.1,1.6
"Newfoundland and Labrador","    China",200,85,115,4.7,4,5.3
"Newfoundland and Labrador","    Hong Kong",0,0,0,0,0,0
"Newfoundland and Labrador","    India",320,200,125,7.5,9.5,5.8
"Newfoundland and Labrador","    Iran",35,20,15,0.8,1,0.7
"Newfoundland and Labrador","    Iraq",60,20,35,1.4,1,1.6
"Newfoundland and Labrador","    Israel",0,0,0,0,0,0
"Newfoundland and Labrador","    Japan",0,0,0,0,0,0
"Newfoundland and Labrador","    Jordan",20,15,10,0.5,0.7,0.5
"Newfoundland and Labrador","    Korea, South",35,0,35,0.8,0,1.6
"Newfoundland and Labrador","    Lebanon",55,30,20,1.3,1.4,0.9
"Newfoundland and Labrador","    Nepal",0,0,0,0,0,0
"Newfoundland and Labrador","    Pakistan",100,45,55,2.3,2.1,2.5
"Newfoundland and Labrador","    Philippines",940,380,555,22,18.1,25.6
"Newfoundland and Labrador","    Saudi Arabia",25,10,15,0.6,0.5,0.7
"Newfoundland and Labrador","    Sri Lanka",20,15,10,0.5,0.7,0.5
"Newfoundland and Labrador","    Syria",400,210,190,9.4,10,8.8
"Newfoundland and Labrador","    Turkey",30,25,0,0.7,1.2,0
"Newfoundland and Labrador","    United Arab Emirates",35,0,25,0.8,0,1.2
"Newfoundland and Labrador","    Viet Nam",35,15,20,0.8,0.7,0.9
"Newfoundland and Labrador","    Other places of birth in Asia",105,35,65,2.5,1.7,3
"Newfoundland and Labrador","  Oceania and other",15,0,10,0.4,0,0.5
"Newfoundland and Labrador","    Australia",10,0,10,0.2,0,0.5
"Newfoundland and Labrador","    Other places of birth",0,0,0,0,0,0
"Prince Edward Island","  Americas",1830,830,1000,15.6,14.5,16.6
"Prince Edward Island","    Brazil",85,40,50,0.7,0.7,0.8
"Prince Edward Island","    Colombia",40,10,30,0.3,0.2,0.5
"Prince Edward Island","    El Salvador",40,20,15,0.3,0.3,0.2
"Prince Edward Island","    Guyana",15,15,0,0.1,0.3,0
"Prince Edward Island","    Haiti",10,10,0,0.1,0.2,0
"Prince Edward Island","    Jamaica",130,65,60,1.1,1.1,1
"Prince Edward Island","    Mexico",50,10,35,0.4,0.2,0.6
"Prince Edward Island","    Peru",15,0,15,0.1,0,0.2
"Prince Edward Island","    Trinidad and Tobago",25,10,15,0.2,0.2,0.2
"Prince Edward Island","    United States of America",1170,505,665,9.9,8.8,11
"Prince Edward Island","    Other places of birth in Americas",260,150,105,2.2,2.6,1.7
"Prince Edward Island","  Europe",3275,1630,1645,27.8,28.4,27.3
"Prince Edward Island","    Bosnia and Herzegovina",55,25,30,0.5,0.4,0.5
"Prince Edward Island","    Croatia",20,20,0,0.2,0.3,0
"Prince Edward Island","    France",110,40,70,0.9,0.7,1.2
"Prince Edward Island","    Germany",185,90,100,1.6,1.6,1.7
"Prince Edward Island","    Greece",10,10,0,0.1,0.2,0
"Prince Edward Island","    Hungary",45,20,20,0.4,0.3,0.3
"Prince Edward Island","    Italy",75,35,35,0.6,0.6,0.6
"Prince Edward Island","    Netherlands",430,240,185,3.7,4.2,3.1
"Prince Edward Island","    Poland",100,50,45,0.8,0.9,0.7
"Prince Edward Island","    Portugal",80,45,35,0.7,0.8,0.6
"Prince Edward Island","    Romania",35,10,20,0.3,0.2,0.3
"Prince Edward Island","    Russian Federation",105,45,60,0.9,0.8,1
"Prince Edward Island","    Serbia",10,0,10,0.1,0,0.2
"Prince Edward Island","    Ukraine",75,40,35,0.6,0.7,0.6
"Prince Edward Island","    United Kingdom",1385,670,710,11.8,11.7,11.8
"Prince Edward Island","    Other places of birth in Europe",575,290,285,4.9,5.1,4.7
"Prince Edward Island","  Africa",625,320,310,5.3,5.6,5.1
"Prince Edward Island","    Algeria",0,0,0,0,0,0
"Prince Edward Island","    Congo, Democratic Republic of the",15,0,15,0.1,0,0.2
"Prince Edward Island","    Egypt",55,25,25,0.5,0.4,0.4
"Prince Edward Island","    Eritrea",0,0,0,0,0,0
"Prince Edward Island","    Ethiopia",10,0,0,0.1,0,0
"Prince Edward Island","    Morocco",60,30,25,0.5,0.5,0.4
"Prince Edward Island","    Nigeria",110,55,60,0.9,1,1
"Prince Edward Island","    Somalia",25,15,10,0.2,0.3,0.2
"Prince Edward Island","    South Africa, Republic of",120,55,65,1,1,1.1
"Prince Edward Island","    Other places of birth in Africa",220,120,95,1.9,2.1,1.6
"Prince Edward Island","  Asia",5965,2920,3040,50.7,50.9,50.5
"Prince Edward Island","    Afghanistan",0,0,0,0,0,0
"Prince Edward Island","    Iran",185,110,80,1.6,1.9,1.3
"Prince Edward Island","    Iraq",55,35,20,0.5,0.6,0.3
"Prince Edward Island","    Lebanon",140,85,55,1.2,1.5,0.9
"Prince Edward Island","    Syria",400,210,185,3.4,3.7,3.1
"Prince Edward Island","    Turkey",25,10,10,0.2,0.2,0.2
"Prince Edward Island","    China",1675,820,855,14.2,14.3,14.2
"Prince Edward Island","    Hong Kong",125,80,45,1.1,1.4,0.7
