ref_date,region,num_deaths
"1948-04-01 00:00:00",Yukon,25
"1948-04-01 00:00:00","Northwest Territories including Nunavut",151
"1948-07-01 00:00:00",Canada,27530
"1948-07-01 00:00:00","Prince Edward Island",204
"1948-07-01 00:00:00","Nova Scotia",1391
"1948-07-01 00:00:00","New Brunswick",1096
"1948-07-01 00:00:00",Quebec,7917
"1948-07-01 00:00:00",Ontario,9484
"1948-07-01 00:00:00",Manitoba,1600
"1948-07-01 00:00:00",Saskatchewan,1556
"1948-07-01 00:00:00",Alberta,1606
"1948-07-01 00:00:00","British Columbia",2569
"1948-07-01 00:00:00",Yukon,30
"1948-07-01 00:00:00","Northwest Territories including Nunavut",77
"1948-10-01 00:00:00",Canada,28933
"1948-10-01 00:00:00","Prince Edward Island",227
"1948-10-01 00:00:00","Nova Scotia",1425
"1948-10-01 00:00:00","New Brunswick",1227
"1948-10-01 00:00:00",Quebec,7590
"1948-10-01 00:00:00",Ontario,10556
"1948-10-01 00:00:00",Manitoba,1634
"1948-10-01 00:00:00",Saskatchewan,1638
"1948-10-01 00:00:00",Alberta,1710
"1948-10-01 00:00:00","British Columbia",2807
"1948-10-01 00:00:00",Yukon,38
"1948-10-01 00:00:00","Northwest Territories including Nunavut",81
"1949-01-01 00:00:00",Canada,32764
"1949-01-01 00:00:00","Newfoundland and Labrador",805
"1949-01-01 00:00:00","Prince Edward Island",237
"1949-01-01 00:00:00","Nova Scotia",1597
"1949-01-01 00:00:00","New Brunswick",1310
"1949-01-01 00:00:00",Quebec,8965
"1949-01-01 00:00:00",Ontario,11509
"1949-01-01 00:00:00",Manitoba,1750
"1949-01-01 00:00:00",Saskatchewan,1684
"1949-01-01 00:00:00",Alberta,1761
"1949-01-01 00:00:00","British Columbia",3012
"1949-01-01 00:00:00",Yukon,27
"1949-01-01 00:00:00","Northwest Territories including Nunavut",107
"1949-04-01 00:00:00",Canada,32154
"1949-04-01 00:00:00","Newfoundland and Labrador",650
"1949-04-01 00:00:00","Prince Edward Island",219
"1949-04-01 00:00:00","Nova Scotia",1496
"1949-04-01 00:00:00","New Brunswick",1273
"1949-04-01 00:00:00",Quebec,9051
"1949-04-01 00:00:00",Ontario,11035
"1949-04-01 00:00:00",Manitoba,1787
"1949-04-01 00:00:00",Saskatchewan,1774
"1949-04-01 00:00:00",Alberta,1880
"1949-04-01 00:00:00","British Columbia",2804
"1949-04-01 00:00:00",Yukon,23
"1949-04-01 00:00:00","Northwest Territories including Nunavut",162
"1949-07-01 00:00:00",Canada,28759
"1949-07-01 00:00:00","Newfoundland and Labrador",611
"1949-07-01 00:00:00","Prince Edward Island",230
"1949-07-01 00:00:00","Nova Scotia",1397
"1949-07-01 00:00:00","New Brunswick",1084
"1949-07-01 00:00:00",Quebec,7975
"1949-07-01 00:00:00",Ontario,9836
"1949-07-01 00:00:00",Manitoba,1717
"1949-07-01 00:00:00",Saskatchewan,1517
"1949-07-01 00:00:00",Alberta,1641
"1949-07-01 00:00:00","British Columbia",2628
"1949-07-01 00:00:00",Yukon,18
"1949-07-01 00:00:00","Northwest Territories including Nunavut",105
"1949-10-01 00:00:00",Canada,30890
"1949-10-01 00:00:00","Newfoundland and Labrador",802
"1949-10-01 00:00:00","Prince Edward Island",238
"1949-10-01 00:00:00","Nova Scotia",1490
"1949-10-01 00:00:00","New Brunswick",1209
"1949-10-01 00:00:00",Quebec,8116
"1949-10-01 00:00:00",Ontario,10999
"1949-10-01 00:00:00",Manitoba,1665
"1949-10-01 00:00:00",Saskatchewan,1621
"1949-10-01 00:00:00",Alberta,1801
"1949-10-01 00:00:00","British Columbia",2871
"1949-10-01 00:00:00",Yukon,18
"1949-10-01 00:00:00","Northwest Territories including Nunavut",60
"1950-01-01 00:00:00",Canada,33059
"1950-01-01 00:00:00","Newfoundland and Labrador",955
"1950-01-01 00:00:00","Prince Edward Island",285
"1950-01-01 00:00:00","Nova Scotia",1700
"1950-01-01 00:00:00","New Brunswick",1341
"1950-01-01 00:00:00",Quebec,8726
"1950-01-01 00:00:00",Ontario,11716
"1950-01-01 00:00:00",Manitoba,1726
"1950-01-01 00:00:00",Saskatchewan,1650
"1950-01-01 00:00:00",Alberta,1728
"1950-01-01 00:00:00","British Columbia",3118
"1950-01-01 00:00:00",Yukon,29
"1950-01-01 00:00:00","Northwest Territories including Nunavut",85
"1950-04-01 00:00:00",Canada,31826
"1950-04-01 00:00:00","Newfoundland and Labrador",715
"1950-04-01 00:00:00","Prince Edward Island",217
"1950-04-01 00:00:00","Nova Scotia",1498
"1950-04-01 00:00:00","New Brunswick",1232
"1950-04-01 00:00:00",Quebec,8699
"1950-04-01 00:00:00",Ontario,11167
"1950-04-01 00:00:00",Manitoba,1807
"1950-04-01 00:00:00",Saskatchewan,1620
"1950-04-01 00:00:00",Alberta,1825
"1950-04-01 00:00:00","British Columbia",2921
"1950-04-01 00:00:00",Yukon,22
"1950-04-01 00:00:00","Northwest Territories including Nunavut",103
"1950-07-01 00:00:00",Canada,28765
"1950-07-01 00:00:00","Newfoundland and Labrador",665
"1950-07-01 00:00:00","Prince Edward Island",185
"1950-07-01 00:00:00","Nova Scotia",1403
"1950-07-01 00:00:00","New Brunswick",1100
"1950-07-01 00:00:00",Quebec,7926
"1950-07-01 00:00:00",Ontario,10137
"1950-07-01 00:00:00",Manitoba,1489
"1950-07-01 00:00:00",Saskatchewan,1475
"1950-07-01 00:00:00",Alberta,1646
"1950-07-01 00:00:00","British Columbia",2645
"1950-07-01 00:00:00",Yukon,22
"1950-07-01 00:00:00","Northwest Territories including Nunavut",72
"1950-10-01 00:00:00",Canada,30570
"1950-10-01 00:00:00","Newfoundland and Labrador",833
"1950-10-01 00:00:00","Prince Edward Island",216
"1950-10-01 00:00:00","Nova Scotia",1477
"1950-10-01 00:00:00","New Brunswick",1222
"1950-10-01 00:00:00",Quebec,8156
"1950-10-01 00:00:00",Ontario,10928
"1950-10-01 00:00:00",Manitoba,1588
"1950-10-01 00:00:00",Saskatchewan,1498
"1950-10-01 00:00:00",Alberta,1657
"1950-10-01 00:00:00","British Columbia",2897
"1950-10-01 00:00:00",Yukon,26
"1950-10-01 00:00:00","Northwest Territories including Nunavut",72
"1951-01-01 00:00:00",Canada,36129
"1951-01-01 00:00:00","Newfoundland and Labrador",964
"1951-01-01 00:00:00","Prince Edward Island",294
"1951-01-01 00:00:00","Nova Scotia",1869
"1951-01-01 00:00:00","New Brunswick",1464
"1951-01-01 00:00:00",Quebec,9949
"1951-01-01 00:00:00",Ontario,12703
"1951-01-01 00:00:00",Manitoba,1959
"1951-01-01 00:00:00",Saskatchewan,1721
"1951-01-01 00:00:00",Alberta,1958
"1951-01-01 00:00:00","British Columbia",3144
"1951-01-01 00:00:00",Yukon,25
"1951-01-01 00:00:00","Northwest Territories including Nunavut",79
"1951-04-01 00:00:00",Canada,30125
"1951-04-01 00:00:00","Newfoundland and Labrador",661
"1951-04-01 00:00:00","Prince Edward Island",211
"1951-04-01 00:00:00","Nova Scotia",1331
"1951-04-01 00:00:00","New Brunswick",1129
"1951-04-01 00:00:00",Quebec,8362
"1951-04-01 00:00:00",Ontario,10492
"1951-04-01 00:00:00",Manitoba,1628
"1951-04-01 00:00:00",Saskatchewan,1550
"1951-04-01 00:00:00",Alberta,1770
"1951-04-01 00:00:00","British Columbia",2890
"1951-04-01 00:00:00",Yukon,17
"1951-04-01 00:00:00","Northwest Territories including Nunavut",84
"1951-07-01 00:00:00",Canada,28371
"1951-07-01 00:00:00","Newfoundland and Labrador",640
"1951-07-01 00:00:00","Prince Edward Island",182
"1951-07-01 00:00:00","Nova Scotia",1245
"1951-07-01 00:00:00","New Brunswick",1071
"1951-07-01 00:00:00",Quebec,7959
"1951-07-01 00:00:00",Ontario,9749
"1951-07-01 00:00:00",Manitoba,1499
"1951-07-01 00:00:00",Saskatchewan,1553
"1951-07-01 00:00:00",Alberta,1686
"1951-07-01 00:00:00","British Columbia",2706
"1951-07-01 00:00:00",Yukon,26
"1951-07-01 00:00:00","Northwest Territories including Nunavut",55
"1951-10-01 00:00:00",Canada,31198
"1951-10-01 00:00:00","Newfoundland and Labrador",739
"1951-10-01 00:00:00","Prince Edward Island",217
"1951-10-01 00:00:00","Nova Scotia",1367
"1951-10-01 00:00:00","New Brunswick",1209
"1951-10-01 00:00:00",Quebec,8630
"1951-10-01 00:00:00",Ontario,11037
"1951-10-01 00:00:00",Manitoba,1649
"1951-10-01 00:00:00",Saskatchewan,1616
"1951-10-01 00:00:00",Alberta,1753
"1951-10-01 00:00:00","British Columbia",2898
"1951-10-01 00:00:00",Yukon,17
"1951-10-01 00:00:00","Northwest Territories including Nunavut",66
"1952-01-01 00:00:00",Canada,32694
"1952-01-01 00:00:00","Newfoundland and Labrador",767
"1952-01-01 00:00:00","Prince Edward Island",243
"1952-01-01 00:00:00","Nova Scotia",1594
"1952-01-01 00:00:00","New Brunswick",1232
"1952-01-01 00:00:00",Quebec,9006
"1952-01-01 00:00:00",Ontario,11426
"1952-01-01 00:00:00",Manitoba,1706
"1952-01-01 00:00:00",Saskatchewan,1660
"1952-01-01 00:00:00",Alberta,1810
"1952-01-01 00:00:00","British Columbia",3171
"1952-01-01 00:00:00",Yukon,18
"1952-01-01 00:00:00","Northwest Territories including Nunavut",61
"1952-04-01 00:00:00",Canada,31895
"1952-04-01 00:00:00","Newfoundland and Labrador",677
"1952-04-01 00:00:00","Prince Edward Island",215
"1952-04-01 00:00:00","Nova Scotia",1427
"1952-04-01 00:00:00","New Brunswick",1182
"1952-04-01 00:00:00",Quebec,8828
"1952-04-01 00:00:00",Ontario,11269
"1952-04-01 00:00:00",Manitoba,1607
"1952-04-01 00:00:00",Saskatchewan,1681
"1952-04-01 00:00:00",Alberta,1896
"1952-04-01 00:00:00","British Columbia",2971
"1952-04-01 00:00:00",Yukon,27
"1952-04-01 00:00:00","Northwest Territories including Nunavut",115
"1952-07-01 00:00:00",Canada,29616
"1952-07-01 00:00:00","Newfoundland and Labrador",636
"1952-07-01 00:00:00","Prince Edward Island",199
"1952-07-01 00:00:00","Nova Scotia",1302
"1952-07-01 00:00:00","New Brunswick",1048
"1952-07-01 00:00:00",Quebec,8407
"1952-07-01 00:00:00",Ontario,10264
"1952-07-01 00:00:00",Manitoba,1557
"1952-07-01 00:00:00",Saskatchewan,1565
"1952-07-01 00:00:00",Alberta,1744
"1952-07-01 00:00:00","British Columbia",2785
"1952-07-01 00:00:00",Yukon,24
"1952-07-01 00:00:00","Northwest Territories including Nunavut",85
"1952-10-01 00:00:00",Canada,32180
"1952-10-01 00:00:00","Newfoundland and Labrador",693
"1952-10-01 00:00:00","Prince Edward Island",259
"1952-10-01 00:00:00","Nova Scotia",1433
"1952-10-01 00:00:00","New Brunswick",1185
"1952-10-01 00:00:00",Quebec,8613
"1952-10-01 00:00:00",Ontario,11443
"1952-10-01 00:00:00",Manitoba,1682
"1952-10-01 00:00:00",Saskatchewan,1719
"1952-10-01 00:00:00",Alberta,1895
"1952-10-01 00:00:00","British Columbia",3153
"1952-10-01 00:00:00",Yukon,25
"1952-10-01 00:00:00","Northwest Territories including Nunavut",80
"1953-01-01 00:00:00",Canada,34469
"1953-01-01 00:00:00","Newfoundland and Labrador",787
"1953-01-01 00:00:00","Prince Edward Island",257
"1953-01-01 00:00:00","Nova Scotia",1600
"1953-01-01 00:00:00","New Brunswick",1288
"1953-01-01 00:00:00",Quebec,9494
"1953-01-01 00:00:00",Ontario,12126
"1953-01-01 00:00:00",Manitoba,1921
"1953-01-01 00:00:00",Saskatchewan,1728
"1953-01-01 00:00:00",Alberta,2019
"1953-01-01 00:00:00","British Columbia",3152
"1953-01-01 00:00:00",Yukon,28
"1953-01-01 00:00:00","Northwest Territories including Nunavut",69
"1953-04-01 00:00:00",Canada,31840
"1953-04-01 00:00:00","Newfoundland and Labrador",639
"1953-04-01 00:00:00","Prince Edward Island",252
"1953-04-01 00:00:00","Nova Scotia",1374
"1953-04-01 00:00:00","New Brunswick",1169
"1953-04-01 00:00:00",Quebec,8696
"1953-04-01 00:00:00",Ontario,11282
"1953-04-01 00:00:00",Manitoba,1730
"1953-04-01 00:00:00",Saskatchewan,1671
"1953-04-01 00:00:00",Alberta,1813
"1953-04-01 00:00:00","British Columbia",3056
"1953-04-01 00:00:00",Yukon,40
"1953-04-01 00:00:00","Northwest Territories including Nunavut",118
"1953-07-01 00:00:00",Canada,29944
"1953-07-01 00:00:00","Newfoundland and Labrador",617
"1953-07-01 00:00:00","Prince Edward Island",205
"1953-07-01 00:00:00","Nova Scotia",1372
"1953-07-01 00:00:00","New Brunswick",969
"1953-07-01 00:00:00",Quebec,8095
"1953-07-01 00:00:00",Ontario,10553
"1953-07-01 00:00:00",Manitoba,1664
"1953-07-01 00:00:00",Saskatchewan,1643
"1953-07-01 00:00:00",Alberta,1844
"1953-07-01 00:00:00","British Columbia",2884
"1953-07-01 00:00:00",Yukon,29
"1953-07-01 00:00:00","Northwest Territories including Nunavut",69
"1953-10-01 00:00:00",Canada,31538
"1953-10-01 00:00:00","Newfoundland and Labrador",690
"1953-10-01 00:00:00","Prince Edward Island",212
"1953-10-01 00:00:00","Nova Scotia",1462
"1953-10-01 00:00:00","New Brunswick",1211
"1953-10-01 00:00:00",Quebec,8184
"1953-10-01 00:00:00",Ontario,11281
"1953-10-01 00:00:00",Manitoba,1700
"1953-10-01 00:00:00",Saskatchewan,1645
"1953-10-01 00:00:00",Alberta,1970
"1953-10-01 00:00:00","British Columbia",3126
"1953-10-01 00:00:00",Yukon,19
"1953-10-01 00:00:00","Northwest Territories including Nunavut",38
"1954-01-01 00:00:00",Canada,31854
"1954-01-01 00:00:00","Newfoundland and Labrador",755
"1954-01-01 00:00:00","Prince Edward Island",255
"1954-01-01 00:00:00","Nova Scotia",1500
"1954-01-01 00:00:00","New Brunswick",1086
"1954-01-01 00:00:00",Quebec,8563
"1954-01-01 00:00:00",Ontario,11367
"1954-01-01 00:00:00",Manitoba,1624
"1954-01-01 00:00:00",Saskatchewan,1565
"1954-01-01 00:00:00",Alberta,1973
"1954-01-01 00:00:00","British Columbia",3082
"1954-01-01 00:00:00",Yukon,16
"1954-01-01 00:00:00","Northwest Territories including Nunavut",68
"1954-04-01 00:00:00",Canada,31612
"1954-04-01 00:00:00","Newfoundland and Labrador",712
"1954-04-01 00:00:00","Prince Edward Island",238
"1954-04-01 00:00:00","Nova Scotia",1394
"1954-04-01 00:00:00","New Brunswick",1096
"1954-04-01 00:00:00",Quebec,8494
"1954-04-01 00:00:00",Ontario,11206
"1954-04-01 00:00:00",Manitoba,1736
"1954-04-01 00:00:00",Saskatchewan,1610
"1954-04-01 00:00:00",Alberta,1831
"1954-04-01 00:00:00","British Columbia",3186
"1954-04-01 00:00:00",Yukon,26
"1954-04-01 00:00:00","Northwest Territories including Nunavut",83
"1954-07-01 00:00:00",Canada,29363
"1954-07-01 00:00:00","Newfoundland and Labrador",682
"1954-07-01 00:00:00","Prince Edward Island",223
"1954-07-01 00:00:00","Nova Scotia",1327
"1954-07-01 00:00:00","New Brunswick",993
"1954-07-01 00:00:00",Quebec,7833
"1954-07-01 00:00:00",Ontario,10303
"1954-07-01 00:00:00",Manitoba,1657
"1954-07-01 00:00:00",Saskatchewan,1543
"1954-07-01 00:00:00",Alberta,1760
"1954-07-01 00:00:00","British Columbia",2956
"1954-07-01 00:00:00",Yukon,25
"1954-07-01 00:00:00","Northwest Territories including Nunavut",61
"1954-10-01 00:00:00",Canada,32026
"1954-10-01 00:00:00","Newfoundland and Labrador",767
"1954-10-01 00:00:00","Prince Edward Island",250
"1954-10-01 00:00:00","Nova Scotia",1471
"1954-10-01 00:00:00","New Brunswick",1111
"1954-10-01 00:00:00",Quebec,8279
"1954-10-01 00:00:00",Ontario,11639
"1954-10-01 00:00:00",Manitoba,1702
"1954-10-01 00:00:00",Saskatchewan,1605
"1954-10-01 00:00:00",Alberta,1956
"1954-10-01 00:00:00","British Columbia",3190
"1954-10-01 00:00:00",Yukon,18
"1954-10-01 00:00:00","Northwest Territories including Nunavut",38
"1955-01-01 00:00:00",Canada,33115
"1955-01-01 00:00:00","Newfoundland and Labrador",784
"1955-01-01 00:00:00","Prince Edward Island",224
"1955-01-01 00:00:00","Nova Scotia",1582
"1955-01-01 00:00:00","New Brunswick",1133
"1955-01-01 00:00:00",Quebec,8728
"1955-01-01 00:00:00",Ontario,11727
"1955-01-01 00:00:00",Manitoba,1751
"1955-01-01 00:00:00",Saskatchewan,1720
"1955-01-01 00:00:00",Alberta,2104
"1955-01-01 00:00:00","British Columbia",3314
"1955-01-01 00:00:00",Yukon,15
"1955-01-01 00:00:00","Northwest Territories including Nunavut",33
"1955-04-01 00:00:00",Canada,32392
"1955-04-01 00:00:00","Newfoundland and Labrador",838
"1955-04-01 00:00:00","Prince Edward Island",256
"1955-04-01 00:00:00","Nova Scotia",1562
"1955-04-01 00:00:00","New Brunswick",1105
"1955-04-01 00:00:00",Quebec,8647
"1955-04-01 00:00:00",Ontario,11275
"1955-04-01 00:00:00",Manitoba,1699
"1955-04-01 00:00:00",Saskatchewan,1624
"1955-04-01 00:00:00",Alberta,2027
"1955-04-01 00:00:00","British Columbia",3254
"1955-04-01 00:00:00",Yukon,21
"1955-04-01 00:00:00","Northwest Territories including Nunavut",84
"1955-07-01 00:00:00",Canada,30465
"1955-07-01 00:00:00","Newfoundland and Labrador",703
"1955-07-01 00:00:00","Prince Edward Island",194
"1955-07-01 00:00:00","Nova Scotia",1336
"1955-07-01 00:00:00","New Brunswick",1043
"1955-07-01 00:00:00",Quebec,8131
"1955-07-01 00:00:00",Ontario,10870
"1955-07-01 00:00:00",Manitoba,1629
"1955-07-01 00:00:00",Saskatchewan,1648
"1955-07-01 00:00:00",Alberta,1835
"1955-07-01 00:00:00","British Columbia",2998
"1955-07-01 00:00:00",Yukon,16
"1955-07-01 00:00:00","Northwest Territories including Nunavut",62
"1955-10-01 00:00:00",Canada,32504
"1955-10-01 00:00:00","Newfoundland and Labrador",881
"1955-10-01 00:00:00","Prince Edward Island",227
"1955-10-01 00:00:00","Nova Scotia",1460
