ref_date,region,num_births
"1948-04-01 00:00:00",Yukon,55
"1948-04-01 00:00:00","Northwest Territories including Nunavut",166
"1948-07-01 00:00:00",Canada,90676
"1948-07-01 00:00:00","Prince Edward Island",791
"1948-07-01 00:00:00","Nova Scotia",4597
"1948-07-01 00:00:00","New Brunswick",4463
"1948-07-01 00:00:00",Quebec,29870
"1948-07-01 00:00:00",Ontario,27030
"1948-07-01 00:00:00",Manitoba,4898
"1948-07-01 00:00:00",Saskatchewan,5749
"1948-07-01 00:00:00",Alberta,6122
"1948-07-01 00:00:00","British Columbia",6931
"1948-07-01 00:00:00",Yukon,73
"1948-07-01 00:00:00","Northwest Territories including Nunavut",152
"1948-10-01 00:00:00",Canada,82378
"1948-10-01 00:00:00","Prince Edward Island",646
"1948-10-01 00:00:00","Nova Scotia",4226
"1948-10-01 00:00:00","New Brunswick",4133
"1948-10-01 00:00:00",Quebec,26653
"1948-10-01 00:00:00",Ontario,25262
"1948-10-01 00:00:00",Manitoba,4432
"1948-10-01 00:00:00",Saskatchewan,5006
"1948-10-01 00:00:00",Alberta,5696
"1948-10-01 00:00:00","British Columbia",6091
"1948-10-01 00:00:00",Yukon,74
"1948-10-01 00:00:00","Northwest Territories including Nunavut",159
"1949-01-01 00:00:00",Canada,87976
"1949-01-01 00:00:00","Newfoundland and Labrador",2944
"1949-01-01 00:00:00","Prince Edward Island",684
"1949-01-01 00:00:00","Nova Scotia",4307
"1949-01-01 00:00:00","New Brunswick",4139
"1949-01-01 00:00:00",Quebec,28226
"1949-01-01 00:00:00",Ontario,25902
"1949-01-01 00:00:00",Manitoba,4606
"1949-01-01 00:00:00",Saskatchewan,4955
"1949-01-01 00:00:00",Alberta,5719
"1949-01-01 00:00:00","British Columbia",6252
"1949-01-01 00:00:00",Yukon,72
"1949-01-01 00:00:00","Northwest Territories including Nunavut",170
"1949-04-01 00:00:00",Canada,96444
"1949-04-01 00:00:00","Newfoundland and Labrador",3019
"1949-04-01 00:00:00","Prince Edward Island",760
"1949-04-01 00:00:00","Nova Scotia",4583
"1949-04-01 00:00:00","New Brunswick",4413
"1949-04-01 00:00:00",Quebec,31341
"1949-04-01 00:00:00",Ontario,27515
"1949-04-01 00:00:00",Manitoba,5066
"1949-04-01 00:00:00",Saskatchewan,5858
"1949-04-01 00:00:00",Alberta,6562
"1949-04-01 00:00:00","British Columbia",7091
"1949-04-01 00:00:00",Yukon,73
"1949-04-01 00:00:00","Northwest Territories including Nunavut",163
"1949-07-01 00:00:00",Canada,95731
"1949-07-01 00:00:00","Newfoundland and Labrador",3286
"1949-07-01 00:00:00","Prince Edward Island",725
"1949-07-01 00:00:00","Nova Scotia",4679
"1949-07-01 00:00:00","New Brunswick",4308
"1949-07-01 00:00:00",Quebec,30076
"1949-07-01 00:00:00",Ontario,27630
"1949-07-01 00:00:00",Manitoba,5098
"1949-07-01 00:00:00",Saskatchewan,5820
"1949-07-01 00:00:00",Alberta,6520
"1949-07-01 00:00:00","British Columbia",7360
"1949-07-01 00:00:00",Yukon,71
"1949-07-01 00:00:00","Northwest Territories including Nunavut",158
"1949-10-01 00:00:00",Canada,86941
"1949-10-01 00:00:00","Newfoundland and Labrador",3032
"1949-10-01 00:00:00","Prince Edward Island",662
"1949-10-01 00:00:00","Nova Scotia",4170
"1949-10-01 00:00:00","New Brunswick",3813
"1949-10-01 00:00:00",Quebec,27181
"1949-10-01 00:00:00",Ontario,25554
"1949-10-01 00:00:00",Manitoba,4522
"1949-10-01 00:00:00",Saskatchewan,5029
"1949-10-01 00:00:00",Alberta,6134
"1949-10-01 00:00:00","British Columbia",6598
"1949-10-01 00:00:00",Yukon,93
"1949-10-01 00:00:00","Northwest Territories including Nunavut",153
"1950-01-01 00:00:00",Canada,88890
"1950-01-01 00:00:00","Newfoundland and Labrador",3156
"1950-01-01 00:00:00","Prince Edward Island",748
"1950-01-01 00:00:00","Nova Scotia",4083
"1950-01-01 00:00:00","New Brunswick",4044
"1950-01-01 00:00:00",Quebec,28510
"1950-01-01 00:00:00",Ontario,25818
"1950-01-01 00:00:00",Manitoba,4646
"1950-01-01 00:00:00",Saskatchewan,5036
"1950-01-01 00:00:00",Alberta,6104
"1950-01-01 00:00:00","British Columbia",6524
"1950-01-01 00:00:00",Yukon,77
"1950-01-01 00:00:00","Northwest Territories including Nunavut",144
"1950-04-01 00:00:00",Canada,97014
"1950-04-01 00:00:00","Newfoundland and Labrador",3211
"1950-04-01 00:00:00","Prince Edward Island",807
"1950-04-01 00:00:00","Nova Scotia",4427
"1950-04-01 00:00:00","New Brunswick",4238
"1950-04-01 00:00:00",Quebec,31782
"1950-04-01 00:00:00",Ontario,27719
"1950-04-01 00:00:00",Manitoba,5080
"1950-04-01 00:00:00",Saskatchewan,5652
"1950-04-01 00:00:00",Alberta,6863
"1950-04-01 00:00:00","British Columbia",6988
"1950-04-01 00:00:00",Yukon,73
"1950-04-01 00:00:00","Northwest Territories including Nunavut",174
"1950-07-01 00:00:00",Canada,97311
"1950-07-01 00:00:00","Newfoundland and Labrador",3526
"1950-07-01 00:00:00","Prince Edward Island",697
"1950-07-01 00:00:00","Nova Scotia",4576
"1950-07-01 00:00:00","New Brunswick",4266
"1950-07-01 00:00:00",Quebec,30878
"1950-07-01 00:00:00",Ontario,28659
"1950-07-01 00:00:00",Manitoba,5016
"1950-07-01 00:00:00",Saskatchewan,5815
"1950-07-01 00:00:00",Alberta,6564
"1950-07-01 00:00:00","British Columbia",7070
"1950-07-01 00:00:00",Yukon,88
"1950-07-01 00:00:00","Northwest Territories including Nunavut",156
"1950-10-01 00:00:00",Canada,88794
"1950-10-01 00:00:00","Newfoundland and Labrador",3271
"1950-10-01 00:00:00","Prince Edward Island",633
"1950-10-01 00:00:00","Nova Scotia",4176
"1950-10-01 00:00:00","New Brunswick",3845
"1950-10-01 00:00:00",Quebec,27941
"1950-10-01 00:00:00",Ontario,26512
"1950-10-01 00:00:00",Manitoba,4519
"1950-10-01 00:00:00",Saskatchewan,5043
"1950-10-01 00:00:00",Alberta,6094
"1950-10-01 00:00:00","British Columbia",6534
"1950-10-01 00:00:00",Yukon,78
"1950-10-01 00:00:00","Northwest Territories including Nunavut",148
"1951-01-01 00:00:00",Canada,91739
"1951-01-01 00:00:00","Newfoundland and Labrador",3097
"1951-01-01 00:00:00","Prince Edward Island",647
"1951-01-01 00:00:00","Nova Scotia",4128
"1951-01-01 00:00:00","New Brunswick",3937
"1951-01-01 00:00:00",Quebec,29574
"1951-01-01 00:00:00",Ontario,27529
"1951-01-01 00:00:00",Manitoba,4606
"1951-01-01 00:00:00",Saskatchewan,4905
"1951-01-01 00:00:00",Alberta,6301
"1951-01-01 00:00:00","British Columbia",6732
"1951-01-01 00:00:00",Yukon,86
"1951-01-01 00:00:00","Northwest Territories including Nunavut",197
"1951-04-01 00:00:00",Canada,101404
"1951-04-01 00:00:00","Newfoundland and Labrador",2978
"1951-04-01 00:00:00","Prince Edward Island",741
"1951-04-01 00:00:00","Nova Scotia",4466
"1951-04-01 00:00:00","New Brunswick",4289
"1951-04-01 00:00:00",Quebec,32842
"1951-04-01 00:00:00",Ontario,30121
"1951-04-01 00:00:00",Manitoba,5354
"1951-04-01 00:00:00",Saskatchewan,5954
"1951-04-01 00:00:00",Alberta,7211
"1951-04-01 00:00:00","British Columbia",7214
"1951-04-01 00:00:00",Yukon,86
"1951-04-01 00:00:00","Northwest Territories including Nunavut",148
"1951-07-01 00:00:00",Canada,99029
"1951-07-01 00:00:00","Newfoundland and Labrador",3134
"1951-07-01 00:00:00","Prince Edward Island",709
"1951-07-01 00:00:00","Nova Scotia",4651
"1951-07-01 00:00:00","New Brunswick",4199
"1951-07-01 00:00:00",Quebec,30494
"1951-07-01 00:00:00",Ontario,29987
"1951-07-01 00:00:00",Manitoba,5227
"1951-07-01 00:00:00",Saskatchewan,5860
"1951-07-01 00:00:00",Alberta,7153
"1951-07-01 00:00:00","British Columbia",7377
"1951-07-01 00:00:00",Yukon,76
"1951-07-01 00:00:00","Northwest Territories including Nunavut",162
"1951-10-01 00:00:00",Canada,88920
"1951-10-01 00:00:00","Newfoundland and Labrador",2529
"1951-10-01 00:00:00","Prince Edward Island",554
"1951-10-01 00:00:00","Nova Scotia",3880
"1951-10-01 00:00:00","New Brunswick",3650
"1951-10-01 00:00:00",Quebec,28020
"1951-10-01 00:00:00",Ontario,27190
"1951-10-01 00:00:00",Manitoba,4755
"1951-10-01 00:00:00",Saskatchewan,5014
"1951-10-01 00:00:00",Alberta,6338
"1951-10-01 00:00:00","British Columbia",6754
"1951-10-01 00:00:00",Yukon,94
"1951-10-01 00:00:00","Northwest Territories including Nunavut",142
"1952-01-01 00:00:00",Canada,96804
"1952-01-01 00:00:00","Newfoundland and Labrador",3096
"1952-01-01 00:00:00","Prince Edward Island",668
"1952-01-01 00:00:00","Nova Scotia",4330
"1952-01-01 00:00:00","New Brunswick",4094
"1952-01-01 00:00:00",Quebec,30550
"1952-01-01 00:00:00",Ontario,29745
"1952-01-01 00:00:00",Manitoba,4928
"1952-01-01 00:00:00",Saskatchewan,5153
"1952-01-01 00:00:00",Alberta,6854
"1952-01-01 00:00:00","British Columbia",7097
"1952-01-01 00:00:00",Yukon,96
"1952-01-01 00:00:00","Northwest Territories including Nunavut",193
"1952-04-01 00:00:00",Canada,105616
"1952-04-01 00:00:00","Newfoundland and Labrador",3060
"1952-04-01 00:00:00","Prince Edward Island",700
"1952-04-01 00:00:00","Nova Scotia",4476
"1952-04-01 00:00:00","New Brunswick",4292
"1952-04-01 00:00:00",Quebec,34327
"1952-04-01 00:00:00",Ontario,31902
"1952-04-01 00:00:00",Manitoba,5443
"1952-04-01 00:00:00",Saskatchewan,5997
"1952-04-01 00:00:00",Alberta,7520
"1952-04-01 00:00:00","British Columbia",7655
"1952-04-01 00:00:00",Yukon,84
"1952-04-01 00:00:00","Northwest Territories including Nunavut",160
"1952-07-01 00:00:00",Canada,104700
"1952-07-01 00:00:00","Newfoundland and Labrador",3430
"1952-07-01 00:00:00","Prince Edward Island",731
"1952-07-01 00:00:00","Nova Scotia",4717
"1952-07-01 00:00:00","New Brunswick",4346
"1952-07-01 00:00:00",Quebec,32232
"1952-07-01 00:00:00",Ontario,32072
"1952-07-01 00:00:00",Manitoba,5485
"1952-07-01 00:00:00",Saskatchewan,6027
"1952-07-01 00:00:00",Alberta,7667
"1952-07-01 00:00:00","British Columbia",7752
"1952-07-01 00:00:00",Yukon,97
"1952-07-01 00:00:00","Northwest Territories including Nunavut",144
"1952-10-01 00:00:00",Canada,96439
"1952-10-01 00:00:00","Newfoundland and Labrador",2975
"1952-10-01 00:00:00","Prince Edward Island",604
"1952-10-01 00:00:00","Nova Scotia",4428
"1952-10-01 00:00:00","New Brunswick",3959
