ref_date,region,destination,num_people,region_pop,percent_of_region_pop,destination_pop,percent_of_destination_pop
"1971-10-01 00:00:00","Prince Edward Island, province of origin","British Columbia, province of destination",51,112874,0.0452,2258651,0.0023
"1971-10-01 00:00:00","Prince Edward Island, province of origin","Manitoba, province of destination",25,112874,0.0221,998957,0.0025
"1971-10-01 00:00:00","Prince Edward Island, province of origin","New Brunswick, province of destination",215,112874,0.1905,644717,0.0333
"1971-10-01 00:00:00","Prince Edward Island, province of origin","Newfoundland and Labrador, province of destination",29,112874,0.0257,534471,0.0054
"1971-10-01 00:00:00","Prince Edward Island, province of origin","Northwest Territories including Nunavut, province of destination",4,112874,0.0035,37246,0.0107
"1971-10-01 00:00:00","Prince Edward Island, province of origin","Nova Scotia, province of destination",289,112874,0.2560,798804,0.0362
"1971-10-01 00:00:00","Prince Edward Island, province of origin","Ontario, province of destination",459,112874,0.4066,7882241,0.0058
"1971-10-01 00:00:00","Prince Edward Island, province of origin","Quebec, province of destination",87,112874,0.0771,6148121,0.0014
"1971-10-01 00:00:00","Prince Edward Island, province of origin","Saskatchewan, province of destination",18,112874,0.0159,928061,0.0019
"1971-10-01 00:00:00","Prince Edward Island, province of origin","Yukon, province of destination",3,112874,0.0027,19462,0.0154
"1971-10-01 00:00:00","Quebec, province of origin","Alberta, province of destination",826,6148121,0.0134,1675638,0.0493
"1971-10-01 00:00:00","Quebec, province of origin","British Columbia, province of destination",1831,6148121,0.0298,2258651,0.0811
"1971-10-01 00:00:00","Quebec, province of origin","Manitoba, province of destination",587,6148121,0.0095,998957,0.0588
"1971-10-01 00:00:00","Quebec, province of origin","New Brunswick, province of destination",1566,6148121,0.0255,644717,0.2429
"1971-10-01 00:00:00","Quebec, province of origin","Newfoundland and Labrador, province of destination",440,6148121,0.0072,534471,0.0823
"1971-10-01 00:00:00","Quebec, province of origin","Northwest Territories including Nunavut, province of destination",31,6148121,0.0005,37246,0.0832
"1971-10-01 00:00:00","Quebec, province of origin","Nova Scotia, province of destination",796,6148121,0.0129,798804,0.0996
"1971-10-01 00:00:00","Quebec, province of origin","Ontario, province of destination",13171,6148121,0.2142,7882241,0.1671
"1971-10-01 00:00:00","Quebec, province of origin","Prince Edward Island, province of destination",97,6148121,0.0016,112874,0.0859
"1971-10-01 00:00:00","Quebec, province of origin","Saskatchewan, province of destination",129,6148121,0.0021,928061,0.0139
"1971-10-01 00:00:00","Quebec, province of origin","Yukon, province of destination",18,6148121,0.0003,19462,0.0925
"1971-10-01 00:00:00","Saskatchewan, province of origin","Alberta, province of destination",4426,928061,0.4769,1675638,0.2641
"1971-10-01 00:00:00","Saskatchewan, province of origin","British Columbia, province of destination",3192,928061,0.3439,2258651,0.1413
"1971-10-01 00:00:00","Saskatchewan, province of origin","Manitoba, province of destination",1761,928061,0.1898,998957,0.1763
"1971-10-01 00:00:00","Saskatchewan, province of origin","New Brunswick, province of destination",119,928061,0.0128,644717,0.0185
"1971-10-01 00:00:00","Saskatchewan, province of origin","Newfoundland and Labrador, province of destination",41,928061,0.0044,534471,0.0077
"1971-10-01 00:00:00","Saskatchewan, province of origin","Northwest Territories including Nunavut, province of destination",114,928061,0.0123,37246,0.3061
"1971-10-01 00:00:00","Saskatchewan, province of origin","Nova Scotia, province of destination",268,928061,0.0289,798804,0.0336
"1971-10-01 00:00:00","Saskatchewan, province of origin","Ontario, province of destination",1418,928061,0.1528,7882241,0.0180
"1971-10-01 00:00:00","Saskatchewan, province of origin","Prince Edward Island, province of destination",10,928061,0.0011,112874,0.0089
"1971-10-01 00:00:00","Saskatchewan, province of origin","Quebec, province of destination",192,928061,0.0207,6148121,0.0031
"1971-10-01 00:00:00","Saskatchewan, province of origin","Yukon, province of destination",74,928061,0.0080,19462,0.3802
"1971-10-01 00:00:00","Yukon, province of origin","Alberta, province of destination",182,19462,0.9352,1675638,0.0109
"1971-10-01 00:00:00","Yukon, province of origin","British Columbia, province of destination",240,19462,1.2332,2258651,0.0106
"1971-10-01 00:00:00","Yukon, province of origin","Manitoba, province of destination",25,19462,0.1285,998957,0.0025
"1971-10-01 00:00:00","Yukon, province of origin","New Brunswick, province of destination",4,19462,0.0206,644717,0.0006
"1971-10-01 00:00:00","Yukon, province of origin","Newfoundland and Labrador, province of destination",5,19462,0.0257,534471,0.0009
"1971-10-01 00:00:00","Yukon, province of origin","Northwest Territories including Nunavut, province of destination",0,19462,0.0000,37246,0.0000
"1971-10-01 00:00:00","Yukon, province of origin","Nova Scotia, province of destination",0,19462,0.0000,798804,0.0000
"1971-10-01 00:00:00","Yukon, province of origin","Ontario, province of destination",42,19462,0.2158,7882241,0.0005
"1971-10-01 00:00:00","Yukon, province of origin","Prince Edward Island, province of destination",1,19462,0.0051,112874,0.0009
"1971-10-01 00:00:00","Yukon, province of origin","Quebec, province of destination",26,19462,0.1336,6148121,0.0004
"1971-10-01 00:00:00","Yukon, province of origin","Saskatchewan, province of destination",14,19462,0.0719,928061,0.0015
"1972-01-01 00:00:00","Alberta, province of origin","British Columbia, province of destination",5406,1679985,0.3218,2278085,0.2373
"1972-01-01 00:00:00","Alberta, province of origin","Manitoba, province of destination",907,1679985,0.0540,998910,0.0908
"1972-01-01 00:00:00","Alberta, province of origin","New Brunswick, province of destination",135,1679985,0.0080,646337,0.0209
"1972-01-01 00:00:00","Alberta, province of origin","Newfoundland and Labrador, province of destination",106,1679985,0.0063,535736,0.0198
"1972-01-01 00:00:00","Alberta, province of origin","Northwest Territories including Nunavut, province of destination",309,1679985,0.0184,37835,0.8167
"1972-01-01 00:00:00","Alberta, province of origin","Nova Scotia, province of destination",216,1679985,0.0129,800513,0.0270
"1972-01-01 00:00:00","Alberta, province of origin","Ontario, province of destination",2002,1679985,0.1192,7906337,0.0253
"1972-01-01 00:00:00","Alberta, province of origin","Prince Edward Island, province of destination",45,1679985,0.0027,112964,0.0398
"1972-01-01 00:00:00","Alberta, province of origin","Quebec, province of destination",449,1679985,0.0267,6152950,0.0073
"1972-01-01 00:00:00","Alberta, province of origin","Saskatchewan, province of destination",1483,1679985,0.0883,923123,0.1607
"1972-01-01 00:00:00","Alberta, province of origin","Yukon, province of destination",197,1679985,0.0117,19723,0.9988
"1972-01-01 00:00:00","British Columbia, province of origin","Alberta, province of destination",3797,2278085,0.1667,1679985,0.2260
"1972-01-01 00:00:00","British Columbia, province of origin","Manitoba, province of destination",854,2278085,0.0375,998910,0.0855
"1972-01-01 00:00:00","British Columbia, province of origin","New Brunswick, province of destination",161,2278085,0.0071,646337,0.0249
