CENSUS_YEAR,DGUID,ALT_GEO_CODE,GEO_LEVEL,GEO_NAME,TNR_SF,TNR_LF,DATA_QUALITY_FLAG,CHARACTERISTIC_ID,CHARACTERISTIC_NAME,CHARACTERISTIC_NOTE,C1_COUNT_TOTAL,SYMBOL,C2_COUNT_MEN+,SYMBOL,C3_COUNT_WOMEN+,SYMBOL,C10_RATE_TOTAL,SYMBOL,C11_RATE_MEN+,SYMBOL,C12_RATE_WOMEN+,SYMBOL
2021,2021A000011124,1,Country,Canada,3.1,4.3,20000,1588,    Iraq,,84130,,42660,,41465,,1,,1.1,,0.9,
2021,2021A000011124,1,Country,Canada,3.1,4.3,20000,1589,    Lebanon,,95725,,50675,,45055,,1.1,,1.3,,1,
2021,2021A000011124,1,Country,Canada,3.1,4.3,20000,1590,    Syria,89,97590,,49855,,47735,,1.2,,1.3,,1.1,
2021,2021A000011124,1,Country,Canada,3.1,4.3,20000,1591,    Turkey,,35270,,18835,,16435,,0.4,,0.5,,0.4,
2021,2021A000011124,1,Country,Canada,3.1,4.3,20000,1592,    China,90,715835,,317970,,397860,,8.6,,8,,9.1,
2021,2021A000011124,1,Country,Canada,3.1,4.3,20000,1593,    Hong Kong,91,213855,,100480,,113375,,2.6,,2.5,,2.6,
2021,2021A000011124,1,Country,Canada,3.1,4.3,20000,1594,"    Korea, South",92,138355,,63025,,75325,,1.7,,1.6,,1.7,
2021,2021A000011124,1,Country,Canada,3.1,4.3,20000,1595,    Taiwan,,65365,,28725,,36635,,0.8,,0.7,,0.8,
2021,2021A000011124,1,Country,Canada,3.1,4.3,20000,1596,    Philippines,,719580,,305115,,414460,,8.6,,7.7,,9.5,
2021,2021A000011124,1,Country,Canada,3.1,4.3,20000,1597,    Viet Nam,,182095,,82670,,99425,,2.2,,2.1,,2.3,
2021,2021A000011124,1,Country,Canada,3.1,4.3,20000,1598,    Bangladesh,,70090,,35675,,34415,,0.8,,0.9,,0.8,
2021,2021A000011124,1,Country,Canada,3.1,4.3,20000,1599,    India,,898050,,451120,,446930,,10.7,,11.3,,10.2,
2021,2021A000011124,1,Country,Canada,3.1,4.3,20000,1600,    Pakistan,,234105,,118390,,115715,,2.8,,3,,2.6,
2021,2021A000011124,1,Country,Canada,3.1,4.3,20000,1601,    Sri Lanka,,136240,,66215,,70030,,1.6,,1.7,,1.6,
2021,2021A000011124,1,Country,Canada,3.1,4.3,20000,1602,    Other places of birth in Asia,,375340,,175930,,199410,,4.5,,4.4,,4.5,
2021,2021A000011124,1,Country,Canada,3.1,4.3,20000,1603,  Oceania and other places of birth,93,61965,,31055,,30910,,0.7,,0.8,,0.7,
2021,2021A000011124,1,Country,Canada,3.1,4.3,20000,1604,Total - Place of birth for the recent immigrant population in private households - 25% sample data,94,1328240,,644900,,683340,,100,,100,,100,
